2023-03-18 20:18:25,418 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:18:25,919 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:18:25,919 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:18:25,919 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:18:25,919 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:18:25,919 DEBUG      client.py Запущены процессы
2023-03-18 20:18:36,657 DEBUG      client.py Сформирован словарь сообщения: {'action': 'message', 'from': 'qwert', 'to': 'qwert', 'time': 1679156316.6571927, 'mess_text': 'dfsdff'}
2023-03-18 20:18:36,657 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>, {'action': 'message', 'from': 'qwert', 'to': 'qwert', 'time': 1679156316.6571927, 'mess_text': 'dfsdff'}), {}. Вызов из модуля utils
2023-03-18 20:18:36,657 INFO       client.py Отправлено сообщение для пользователя qwert
2023-03-18 20:18:36,931 INFO       client.py Получено сообщение от пользователя qwert:
dfsdff
2023-03-18 20:18:36,932 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:18:41,441 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 40526), raddr=('127.0.0.1', 7773)>, {'action': 'exit', 'time': 1679156321.4413702, 'account_name': 'qwert'}), {}. Вызов из модуля utils
2023-03-18 20:18:41,441 INFO       client.py Завершение работы по команде пользователя.
2023-03-18 20:19:32,423 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:19:32,426 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7773, режим работы: test1
2023-03-18 20:19:32,426 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test1',), {}. Вызов из модуля __main__
2023-03-18 20:19:32,426 DEBUG      client.py Сформировано presence сообщение для пользователя test1
2023-03-18 20:19:32,426 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56604), raddr=('127.0.0.1', 7773)>, {'action': 'presence', 'time': 1679156372.4268916, 'user': {'account_name': 'test1'}}), {}. Вызов из модуля utils
2023-03-18 20:19:32,427 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56604), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:19:32,670 DEBUG      decor.py Была вызвана функция arg_parser c параметрами (), {}. Вызов из модуля __main__
2023-03-18 20:19:32,674 INFO       client.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1, порт: 7773, режим работы: test2
2023-03-18 20:19:32,674 DEBUG      decor.py Была вызвана функция create_presence c параметрами ('test2',), {}. Вызов из модуля __main__
2023-03-18 20:19:32,674 DEBUG      client.py Сформировано presence сообщение для пользователя test2
2023-03-18 20:19:32,674 DEBUG      decor.py Была вызвана функция send_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56610), raddr=('127.0.0.1', 7773)>, {'action': 'presence', 'time': 1679156372.674685, 'user': {'account_name': 'test2'}}), {}. Вызов из модуля utils
2023-03-18 20:19:32,674 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56610), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:19:32,675 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:19:32,675 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:19:32,675 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:19:32,675 DEBUG      decor.py Была вызвана функция process_server_answer c параметрами ({'response': 200},), {}. Вызов из модуля __main__
2023-03-18 20:19:32,675 DEBUG      client.py Разбор сообщения от сервера: {'response': 200}
2023-03-18 20:19:32,675 INFO       client.py Принят ответ от сервера 200 : OK
2023-03-18 20:19:32,675 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56610), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:19:32,675 DEBUG      decor.py Была вызвана функция receive_message c параметрами (<socket.socket fd=5, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 56604), raddr=('127.0.0.1', 7773)>,), {}. Вызов из модуля utils
2023-03-18 20:19:32,675 DEBUG      client.py Запущены процессы
